ORDERNUMBER,PRODUCTCODE,CUSTOMERNAME,ORDERDATE,STATUS,DEALSIZE,QUANTITYORDERED,PRICEEACH,SALES
10406,S18_1984,Danish Wholesale Imports,15/04/2020,Disputed,Large,48,149.36,7169.28
10419,S18_1984,Salzburg Collectables,17/05/2020,Shipped,Medium,34,135.14,4594.76
10104,S18_2238,Euro Shopping Channel,31/01/2018,Shipped,Medium,24,144.08,3457.92
10115,S18_2238,Classic Legends Inc.,4/4/2018,Shipped,Large,46,160.46,7381.16
10127,S18_2238,Muscle Machine Inc,3/6/2018,Shipped,Large,45,158.82,7146.9
10141,S18_2238,Suominen Souveniers,1/8/2018,Shipped,Medium,39,152.27,5938.53
10151,S18_2238,"Oulu Toy Supplies, Inc.",21/09/2018,Shipped,Large,43,165.37,7110.91
10165,S18_2238,"Dragon Souveniers, Ltd.",22/10/2018,Shipped,Medium,29,173.55,5032.95
10176,S18_2238,L'ordine Souveniers,6/11/2018,Shipped,Medium,20,183.38,3667.6
10184,S18_2238,"Iberia Gift Imports, Corp.",14/11/2018,Shipped,Large,46,160.46,7381.16
10195,S18_2238,Mini Classics,25/11/2018,Shipped,Medium,27,189.93,5128.11
10207,S18_2238,Diecast Collectables,9/12/2018,Shipped,Large,44,160.46,7060.24
10219,S18_2238,Signal Collectibles Ltd.,10/2/2019,Shipped,Large,43,196.48,8448.64
10230,S18_2238,"Blauer See Auto, Co.",15/03/2019,Shipped,Large,49,148.99,7300.51
10246,S18_2238,Euro Shopping Channel,5/5/2019,Shipped,Medium,40,163.73,6549.2
10259,S18_2238,Handji Gifts& Co,15/06/2019,Shipped,Medium,30,189.93,5697.9
10271,S18_2238,Mini Gifts Distributors Ltd.,20/07/2019,Shipped,Large,50,183.38,9169
10282,S18_2238,Mini Gifts Distributors Ltd.,20/08/2019,Shipped,Medium,23,140.81,3238.63
10292,S18_2238,Land of Toys Inc.,8/9/2019,Shipped,Medium,26,175.19,4554.94
10305,S18_2238,Marta's Replicas Co.,13/10/2019,Shipped,Medium,27,145.72,3934.44
10314,S18_2238,Heintze Collectables,22/10/2019,Shipped,Medium,42,137.53,5776.26
10324,S18_2238,Vitachrome Inc.,5/11/2019,Shipped,Large,47,153.35,7207.45
10336,S18_2238,"La Corne D'abondance, Co.",20/11/2019,Shipped,Large,49,152.26,7460.74
10349,S18_2238,Muscle Machine Inc,1/12/2019,Shipped,Medium,38,176.83,6719.54
10358,S18_2238,Euro Shopping Channel,10/12/2019,Shipped,Small,20,121.4,2428
10371,S18_2238,Mini Gifts Distributors Ltd.,23/01/2020,Shipped,Small,25,104.09,2602.25
10382,S18_2238,Mini Gifts Distributors Ltd.,17/02/2020,Shipped,Small,25,88,2200
10412,S18_2238,Euro Shopping Channel,3/5/2020,Shipped,Medium,41,163.73,6712.93
10425,S18_2238,La Rochelle Gifts,31/05/2020,In Process,Medium,28,189.93,5318.04
10100,S18_2248,Online Diecast Creations Co.,6/1/2018,Shipped,Medium,50,67.8,3390
10110,S18_2248,"AV Stores, Co.",18/03/2018,Shipped,Small,32,50.25,1608
10124,S18_2248,Signal Gift Stores,21/05/2018,Shipped,Small,42,53.88,2262.96
10149,S18_2248,Signal Collectibles Ltd.,12/9/2018,Shipped,Small,24,62.36,1496.64
10173,S18_2248,Rovelli Gifts,5/11/2018,Shipped,Small,26,57.51,1495.26
10182,S18_2248,Mini Gifts Distributors Ltd.,12/11/2018,Shipped,Small,38,61.15,2323.7
10193,S18_2248,"Australian Collectables, Ltd",21/11/2018,Shipped,Small,42,59.33,2491.86
10204,S18_2248,Muscle Machine Inc,2/12/2018,Shipped,Small,23,71.44,1643.12
10214,S18_2248,"Corrida Auto Replicas, Ltd",26/01/2019,Shipped,Small,21,62.96,1322.16
10227,S18_2248,"Saveley & Henriot, Co.",2/3/2019,Shipped,Small,28,50.85,1423.8
10241,S18_2248,Mini Caravy,13/04/2019,Shipped,Small,33,72.65,2397.45
10280,S18_2248,Amica Models & Co.,17/08/2019,Shipped,Small,25,62.96,1574
10288,S18_2248,Handji Gifts& Co,1/9/2019,Shipped,Small,28,61.75,1729
10303,S18_2248,"Iberia Gift Imports, Corp.",6/10/2019,Shipped,Small,46,49.04,2255.84
10312,S18_2248,Mini Gifts Distributors Ltd.,21/10/2019,Shipped,Small,30,61.15,1834.5
10332,S18_2248,"AV Stores, Co.",17/11/2019,Shipped,Medium,38,84.25,3201.5
10344,S18_2248,Marseille Mini Autos,25/11/2019,Shipped,Small,40,56.91,2276.4
10367,S18_2248,Toys4GrownUps.com,12/1/2020,Resolved,Large,45,197.44,8884.8
10379,S18_2248,Euro Shopping Channel,10/2/2020,Shipped,Small,27,49.3,1331.1
10407,S18_2248,The Sharp Gifts Warehouse,22/04/2020,On Hold,Medium,42,72.65,3051.3
10420,S18_2248,Souveniers And Things Co.,29/05/2020,In Process,Small,36,63.57,2288.52
10104,S18_2319,Euro Shopping Channel,31/01/2018,Shipped,Medium,29,130.09,3772.61
10114,S18_2319,"La Corne D'abondance, Co.",1/4/2018,Shipped,Medium,39,106.78,4164.42
10127,S18_2319,Muscle Machine Inc,3/6/2018,Shipped,Medium,45,139.91,6295.95
10141,S18_2319,Suominen Souveniers,1/8/2018,Shipped,Medium,47,133.78,6287.66
10151,S18_2319,"Oulu Toy Supplies, Inc.",21/09/2018,Shipped,Medium,49,110.46,5412.54
10165,S18_2319,"Dragon Souveniers, Ltd.",22/10/2018,Shipped,Medium,46,130.09,5984.14
10175,S18_2319,"Stylish Desk Decors, Co.",6/11/2018,Shipped,Medium,48,122.73,5891.04
10184,S18_2319,"Iberia Gift Imports, Corp.",14/11/2018,Shipped,Medium,46,130.09,5984.14
10195,S18_2319,Mini Classics,25/11/2018,Shipped,Medium,35,103.09,3608.15
10207,S18_2319,Diecast Collectables,9/12/2018,Shipped,Medium,43,133.78,5752.54
10229,S18_2319,Mini Gifts Distributors Ltd.,11/3/2019,Shipped,Medium,26,144.82,3765.32
10246,S18_2319,Euro Shopping Channel,5/5/2019,Shipped,Small,22,98.18,2159.96
10259,S18_2319,Handji Gifts& Co,15/06/2019,Shipped,Medium,34,99.41,3379.94
10271,S18_2319,Mini Gifts Distributors Ltd.,20/07/2019,Shipped,Medium,50,101.87,5093.5
10281,S18_2319,Diecast Classics Inc.,19/08/2019,Shipped,Medium,48,120.28,5773.44
10292,S18_2319,Land of Toys Inc.,8/9/2019,Shipped,Medium,41,110.46,4528.86
10305,S18_2319,Marta's Replicas Co.,13/10/2019,Shipped,Medium,36,133.78,4816.08
10313,S18_2319,Canadian Gift Exchange Network,22/10/2019,Shipped,Medium,29,117.82,3416.78
10324,S18_2319,Vitachrome Inc.,5/11/2019,Shipped,Small,33,37.48,1236.84
10334,S18_2319,"Volvo Model Replicas, Co",19/11/2019,On Hold,Medium,46,126.41,5814.86
10349,S18_2319,Muscle Machine Inc,1/12/2019,Shipped,Medium,38,137.46,5223.48
10358,S18_2319,Euro Shopping Channel,10/12/2019,Shipped,Small,20,36.42,728.4
10370,S18_2319,"Anna's Decorations, Ltd",20/01/2020,Shipped,Medium,22,179.5,3949
10383,S18_2319,Euro Shopping Channel,22/02/2020,Shipped,Medium,27,142.37,3843.99
10412,S18_2319,Euro Shopping Channel,3/5/2020,Shipped,Medium,56,98.18,5498.08
10425,S18_2319,La Rochelle Gifts,31/05/2020,In Process,Medium,38,99.41,3777.58
10101,S18_2325,"Blauer See Auto, Co.",9/1/2018,Shipped,Medium,25,151.28,3782
10110,S18_2325,"AV Stores, Co.",18/03/2018,Shipped,Medium,33,116.96,3859.68
10124,S18_2325,Signal Gift Stores,21/05/2018,Shipped,Medium,42,105.52,4431.84
10149,S18_2325,Signal Collectibles Ltd.,12/9/2018,Shipped,Medium,33,150.01,4950.33
10173,S18_2325,Rovelli Gifts,5/11/2018,Shipped,Medium,31,144.93,4492.83
10182,S18_2325,Mini Gifts Distributors Ltd.,12/11/2018,Shipped,Small,20,110.6,2212
10193,S18_2325,"Australian Collectables, Ltd",21/11/2018,Shipped,Medium,44,105.52,4642.88
10204,S18_2325,Muscle Machine Inc,2/12/2018,Shipped,Medium,26,123.32,3206.32
10214,S18_2325,"Corrida Auto Replicas, Ltd",26/01/2019,Shipped,Medium,27,133.49,3604.23
10227,S18_2325,"Saveley & Henriot, Co.",2/3/2019,Shipped,Large,46,152.56,7017.76
10243,S18_2325,Diecast Collectables,26/04/2019,Shipped,Medium,47,130.94,6154.18
10280,S18_2325,Amica Models & Co.,17/08/2019,Shipped,Medium,37,128.4,4750.8
10288,S18_2325,Handji Gifts& Co,1/9/2019,Shipped,Medium,31,123.32,3822.92
10304,S18_2325,Auto Assoc. & Cie.,11/10/2019,Shipped,Small,24,101.7,2440.8
10312,S18_2325,Mini Gifts Distributors Ltd.,21/10/2019,Shipped,Medium,31,152.56,4729.36
10322,S18_2325,Online Diecast Creations Co.,4/11/2019,Shipped,Large,50,250.73,12536.5
10332,S18_2325,"AV Stores, Co.",17/11/2019,Shipped,Small,35,64.69,2264.15
10344,S18_2325,Marseille Mini Autos,25/11/2019,Shipped,Medium,30,130.94,3928.2
10356,S18_2325,Lyon Souveniers,9/12/2019,Shipped,Medium,29,125.18,3630.22
10367,S18_2325,Toys4GrownUps.com,12/1/2020,Resolved,Medium,27,155.41,4196.07
10380,S18_2325,Euro Shopping Channel,16/02/2020,Shipped,Medium,40,123.29,4931.6
10390,S18_2325,Mini Gifts Distributors Ltd.,4/3/2020,Shipped,Medium,31,98.99,3068.69
10409,S18_2325,Handji Gifts& Co,23/04/2020,Shipped,Small,6,130.94,785.64
10420,S18_2325,Souveniers And Things Co.,29/05/2020,In Process,Medium,45,110.6,4977
10103,S18_2432,Baane Mini Imports,29/01/2018,Shipped,Small,22,54.09,1189.98
10114,S18_2432,"La Corne D'abondance, Co.",1/4/2018,Shipped,Medium,45,68.67,3090.15
10126,S18_2432,"Corrida Auto Replicas, Ltd",28/05/2018,Shipped,Small,43,65.02,2795.86
10140,S18_2432,Technics Stores Inc.,24/07/2018,Shipped,Small,46,61.99,2851.54
10151,S18_2432,"Oulu Toy Supplies, Inc.",21/09/2018,Shipped,Small,39,69.28,2701.92
10165,S18_2432,"Dragon Souveniers, Ltd.",22/10/2018,Shipped,Small,31,71.1,2204.1
10175,S18_2432,"Stylish Desk Decors, Co.",6/11/2018,Shipped,Small,41,69.28,2840.48
10184,S18_2432,"Iberia Gift Imports, Corp.",14/11/2018,Shipped,Small,44,60.16,2647.04
10194,S18_2432,"Saveley & Henriot, Co.",25/11/2018,Shipped,Medium,45,70.49,3172.05
10207,S18_2432,Diecast Collectables,9/12/2018,Shipped,Small,37,69.89,2585.93
10217,S18_2432,Handji Gifts& Co,4/2/2019,Shipped,Small,35,61.38,2148.3
10229,S18_2432,Mini Gifts Distributors Ltd.,11/3/2019,Shipped,Small,28,59.55,1667.4
10246,S18_2432,Euro Shopping Channel,5/5/2019,Shipped,Small,30,61.99,1859.7
10259,S18_2432,Handji Gifts& Co,15/06/2019,Shipped,Small,30,49.22,1476.6
10271,S18_2432,Mini Gifts Distributors Ltd.,20/07/2019,Shipped,Small,25,69.28,1732
10281,S18_2432,Diecast Classics Inc.,19/08/2019,Shipped,Small,29,57.73,1674.17
10291,S18_2432,Scandinavian Gift Ideas,8/9/2019,Shipped,Small,26,57.73,1500.98
10305,S18_2432,Marta's Replicas Co.,13/10/2019,Shipped,Small,41,53.48,2192.68
10313,S18_2432,Canadian Gift Exchange Network,22/10/2019,Shipped,Small,34,52.87,1797.58
10322,S18_2432,Online Diecast Creations Co.,4/11/2019,Shipped,Small,35,61.21,2142.35
10334,S18_2432,"Volvo Model Replicas, Co",19/11/2019,On Hold,Small,34,61.38,2086.92
10347,S18_2432,"Australian Collectors, Co.",29/11/2019,Shipped,Medium,50,136.69,6834.5
10357,S18_2432,Mini Gifts Distributors Ltd.,10/12/2019,Shipped,Small,41,61.99,2541.59
10370,S18_2432,"Anna's Decorations, Ltd",20/01/2020,Shipped,Small,22,96.86,2130.92
10391,S18_2432,"Anna's Decorations, Ltd",9/3/2020,Shipped,Small,44,38.5,1694
10412,S18_2432,Euro Shopping Channel,3/5/2020,Shipped,Small,47,61.99,2913.53
10425,S18_2432,La Rochelle Gifts,31/05/2020,In Process,Small,19,49.22,935.18
10106,S18_2581,Rovelli Gifts,17/02/2018,Shipped,Medium,34,90.39,3073.26
10120,S18_2581,"Australian Collectors, Co.",29/04/2018,Shipped,Small,29,71.81,2082.49
10133,S18_2581,Euro Shopping Channel,27/06/2018,Shipped,Medium,49,69.27,3394.23
10145,S18_2581,Toys4GrownUps.com,25/08/2018,Shipped,Small,30,85.32,2559.6
10168,S18_2581,Technics Stores Inc.,28/10/2018,Shipped,Small,21,70.96,1490.16
10210,S18_2581,Osaka Souveniers Co.,12/1/2019,Shipped,Medium,50,76.88,3844
10223,S18_2581,"Australian Collectors, Co.",20/02/2019,Shipped,Medium,47,100.53,4724.91
10235,S18_2581,"Royal Canadian Collectables, Ltd.",2/4/2019,Shipped,Small,24,76.03,1824.72
10250,S18_2581,The Sharp Gifts Warehouse,11/5/2019,Shipped,Small,27,98.84,2668.68
10263,S18_2581,Gift Depot Inc.,28/06/2019,Shipped,Small,33,86.17,2843.61
10275,S18_2581,La Rochelle Gifts,23/07/2019,Shipped,Medium,35,90.39,3163.65
10284,S18_2581,"Norway Gifts By Mail, Co.",21/08/2019,Shipped,Small,31,71.81,2226.11
10297,S18_2581,"Clover Collections, Co.",16/09/2019,Shipped,Small,25,82.79,2069.75
10308,S18_2581,Mini Classics,15/10/2019,Shipped,Small,27,82.79,2235.33
10318,S18_2581,Diecast Classics Inc.,2/11/2019,Shipped,Medium,31,100.53,3116.43
10327,S18_2581,Danish Wholesale Imports,10/11/2019,Resolved,Medium,45,106.26,4781.7
10339,S18_2581,"Tokyo Collectables, Ltd",23/11/2019,Shipped,Small,27,104.1,2810.7
10353,S18_2581,Gift Ideas Corp.,4/12/2019,Shipped,Medium,27,130.21,3515.67
10374,S18_2581,"Australian Gift Network, Co",2/2/2020,Shipped,Small,42,69.27,2909.34
10386,S18_2581,Euro Shopping Channel,1/3/2020,Resolved,Small,21,74.77,1570.17
10398,S18_2581,Reims Collectables,30/03/2020,Shipped,Small,34,76.88,2613.92
10401,S18_2581,Tekni Collectables Inc.,3/4/2020,On Hold,Medium,42,76.03,3193.26
10416,S18_2581,L'ordine Souveniers,10/5/2020,Shipped,Small,15,98.84,1482.6
10107,S18_2625,Land of Toys Inc.,24/02/2018,Shipped,Small,29,70.87,2055.23
10120,S18_2625,"Australian Collectors, Co.",29/04/2018,Shipped,Small,46,58.15,2674.9
10134,S18_2625,Lyon Souveniers,1/7/2018,Shipped,Small,30,61.78,1853.4
10145,S18_2625,Toys4GrownUps.com,25/08/2018,Shipped,Small,30,49.67,1490.1
10168,S18_2625,Technics Stores Inc.,28/10/2018,Shipped,Small,46,61.18,2814.28
10180,S18_2625,Daedalus Designs Imports,11/11/2018,Shipped,Small,25,64.2,1605
10188,S18_2625,Herkku Gifts,18/11/2018,Shipped,Small,32,65.42,2093.44
10210,S18_2625,Osaka Souveniers Co.,12/1/2019,Shipped,Small,40,49.67,1986.8
10223,S18_2625,"Australian Collectors, Co.",20/02/2019,Shipped,Small,28,60.57,1695.96
10236,S18_2625,Motor Mint Distributors Inc.,3/4/2019,Shipped,Small,23,55.72,1281.56
10251,S18_2625,Tekni Collectables Inc.,18/05/2019,Shipped,Small,29,61.18,1774.22
10263,S18_2625,Gift Depot Inc.,28/06/2019,Shipped,Small,34,58.75,1997.5
10275,S18_2625,La Rochelle Gifts,23/07/2019,Shipped,Small,37,63.6,2353.2
10285,S18_2625,Marta's Replicas Co.,27/08/2019,Shipped,Small,20,49.06,981.2
10298,S18_2625,Atelier graphique,27/09/2019,Shipped,Small,32,48.46,1550.72
10308,S18_2625,Mini Classics,15/10/2019,Shipped,Small,34,52.09,1771.06
10318,S18_2625,Diecast Classics Inc.,2/11/2019,Shipped,Small,42,52.7,2213.4
10329,S18_2625,Land of Toys Inc.,15/11/2019,Shipped,Medium,38,138.58,5266.04
10339,S18_2625,"Tokyo Collectables, Ltd",23/11/2019,Shipped,Small,30,62.16,1864.8
10362,S18_2625,Technics Stores Inc.,5/1/2020,Shipped,Small,23,49.67,1142.41
10374,S18_2625,"Australian Gift Network, Co",2/2/2020,Shipped,Small,22,53.3,1172.6
10389,S18_2625,Scandinavian Gift Ideas,3/3/2020,Shipped,Medium,39,179,6981
10402,S18_2625,Auto Canal Petit,7/4/2020,Shipped,Medium,55,55.72,3064.6
10417,S18_2625,Euro Shopping Channel,13/05/2020,Disputed,Small,36,61.18,2202.48
10101,S18_2795,"Blauer See Auto, Co.",9/1/2018,Shipped,Medium,26,145.13,3773.38
10110,S18_2795,"AV Stores, Co.",18/03/2018,Shipped,Medium,31,163.69,5074.39
10125,S18_2795,"Australian Collectors, Co.",21/05/2018,Shipped,Medium,34,190.69,6483.46
10139,S18_2795,Souveniers And Things Co.,16/07/2018,Shipped,Large,41,194.06,7956.46
10149,S18_2795,Signal Collectibles Ltd.,12/9/2018,Shipped,Medium,23,183.94,4230.62
10173,S18_2795,Rovelli Gifts,5/11/2018,Shipped,Medium,22,156.94,3452.68
10182,S18_2795,Mini Gifts Distributors Ltd.,12/11/2018,Shipped,Medium,21,145.13,3047.73
10193,S18_2795,"Australian Collectables, Ltd",21/11/2018,Shipped,Medium,22,167.06,3675.32
10205,S18_2795,Euro Shopping Channel,3/12/2018,Shipped,Large,40,187.31,7492.4
10214,S18_2795,"Corrida Auto Replicas, Ltd",26/01/2019,Shipped,Large,50,190.69,9534.5
10227,S18_2795,"Saveley & Henriot, Co.",2/3/2019,Shipped,Medium,29,192.38,5579.02
10244,S18_2795,Euro Shopping Channel,29/04/2019,Shipped,Medium,43,138.38,5950.34
10255,S18_2795,Mini Caravy,4/6/2019,Shipped,Medium,24,155.25,3726
10280,S18_2795,Amica Models & Co.,17/08/2019,Shipped,Medium,22,202.5,4455
10289,S18_2795,Herkku Gifts,3/9/2019,Shipped,Large,43,192.38,8272.34
10304,S18_2795,Auto Assoc. & Cie.,11/10/2019,Shipped,Medium,20,178.88,3577.6
10312,S18_2795,Mini Gifts Distributors Ltd.,21/10/2019,Shipped,Medium,25,155.25,3881.25
10322,S18_2795,Online Diecast Creations Co.,4/11/2019,Shipped,Medium,36,161.04,5797.44
10332,S18_2795,"AV Stores, Co.",17/11/2019,Shipped,Small,24,52.67,1264.08
10347,S18_2795,"Australian Collectors, Co.",29/11/2019,Shipped,Medium,21,229.3,4815.3
10356,S18_2795,Lyon Souveniers,9/12/2019,Shipped,Medium,30,148.74,4462.2
10367,S18_2795,Toys4GrownUps.com,12/1/2020,Resolved,Medium,32,94.79,3033.28
10380,S18_2795,Euro Shopping Channel,16/02/2020,Shipped,Small,21,47.18,990.78
10390,S18_2795,Mini Gifts Distributors Ltd.,4/3/2020,Shipped,Small,26,78.11,2030.86
10421,S18_2795,Mini Gifts Distributors Ltd.,29/05/2020,In Process,Medium,35,155.25,5433.75
10109,S18_2870,Motor Mint Distributors Inc.,10/3/2018,Shipped,Medium,26,121.44,3157.44
10123,S18_2870,Atelier graphique,20/05/2018,Shipped,Medium,46,112.2,5161.2
10137,S18_2870,Reims Collectables,10/7/2018,Shipped,Medium,37,117.48,4346.76
10148,S18_2870,"Anna's Decorations, Ltd",11/9/2018,Shipped,Medium,27,130.68,3528.36
10161,S18_2870,Heintze Collectables,17/10/2018,Shipped,Medium,23,138.6,3187.8
10172,S18_2870,Gift Depot Inc.,5/11/2018,Shipped,Medium,39,154.44,6023.16
10181,S18_2870,Herkku Gifts,12/11/2018,Shipped,Medium,27,143.88,3884.76
10192,S18_2870,Online Diecast Creations Co.,20/11/2018,Shipped,Medium,38,130.68,4965.84
10204,S18_2870,Muscle Machine Inc,2/12/2018,Shipped,Medium,27,154.44,4169.88
10212,S18_2870,Euro Shopping Channel,16/01/2019,Shipped,Medium,40,122.76,4910.4
10226,S18_2870,Collectable Mini Designs Co.,26/02/2019,Shipped,Medium,24,134.64,3231.36
10241,S18_2870,Mini Caravy,13/04/2019,Shipped,Medium,44,155.76,6853.44
10253,S18_2870,"UK Collectables, Ltd.",1/6/2019,Cancelled,Medium,37,139.92,5177.04
10266,S18_2870,L'ordine Souveniers,6/7/2019,Shipped,Small,20,141.24,2824.8
10278,S18_2870,Signal Gift Stores,6/8/2019,Shipped,Medium,39,110.88,4324.32
10287,S18_2870,"Vida Sport, Ltd",30/08/2019,Shipped,Medium,44,114.84,5052.96
10301,S18_2870,"Norway Gifts By Mail, Co.",5/10/2018,Shipped,Medium,22,146.52,3223.44
10311,S18_2870,Euro Shopping Channel,16/10/2019,Shipped,Medium,43,122.76,5278.68
10321,S18_2870,FunGiftIdeas.com,4/11/2019,Shipped,Small,27,105.6,2851.2
10331,S18_2870,Motor Mint Distributors Inc.,17/11/2019,Shipped,Small,26,64.9,1687.4
10343,S18_2870,Reims Collectables,24/11/2019,Shipped,Small,25,52.32,1308
10366,S18_2870,Royale Belge,10/1/2020,Shipped,Medium,49,125.4,6144.6
10379,S18_2870,Euro Shopping Channel,10/2/2020,Shipped,Medium,29,176.8,5127.2
10407,S18_2870,The Sharp Gifts Warehouse,22/04/2020,On Hold,Medium,41,155.76,6386.16
10419,S18_2870,Salzburg Collectables,17/05/2020,Shipped,Large,55,139.92,7695.6
10103,S18_2949,Baane Mini Imports,29/01/2018,Shipped,Small,27,83.07,2242.89
10112,S18_2949,"Volvo Model Replicas, Co",24/03/2018,Shipped,Small,23,110.43,2539.89
10126,S18_2949,"Corrida Auto Replicas, Ltd",28/05/2018,Shipped,Small,31,90.17,2795.27
10139,S18_2949,Souveniers And Things Co.,16/07/2018,Shipped,Medium,46,120.56,5545.76
10150,S18_2949,"Dragon Souveniers, Ltd.",19/09/2018,Shipped,Medium,47,91.18,4285.46
10163,S18_2949,Classic Legends Inc.,20/10/2018,Shipped,Medium,31,107.39,3329.09
10174,S18_2949,"Australian Gift Network, Co",6/11/2018,Shipped,Medium,46,121.57,5592.22
10183,S18_2949,"Classic Gift Ideas, Inc",13/11/2018,Shipped,Medium,37,89.15,3298.55
10193,S18_2949,"Australian Collectables, Ltd",21/11/2018,Shipped,Small,28,93.21,2609.88
10206,S18_2949,Canadian Gift Exchange Network,5/12/2018,Shipped,Medium,37,90.17,3336.29
10215,S18_2949,West Coast Collectables Co.,29/01/2019,Shipped,Medium,49,112.45,5510.05
10228,S18_2949,Cambridge Collectables Co.,10/3/2019,Shipped,Small,24,104.35,2504.4
10244,S18_2949,Euro Shopping Channel,29/04/2019,Shipped,Medium,30,117.52,3525.6
10257,S18_2949,The Sharp Gifts Warehouse,14/06/2019,Shipped,Medium,50,88.14,4407
10270,S18_2949,Souveniers And Things Co.,19/07/2019,Shipped,Small,31,96.24,2983.44
10280,S18_2949,Amica Models & Co.,17/08/2019,Shipped,Medium,46,111.44,5126.24
10291,S18_2949,Scandinavian Gift Ideas,8/9/2019,Shipped,Medium,47,121.57,5713.79
10304,S18_2949,Auto Assoc. & Cie.,11/10/2019,Shipped,Medium,46,100.3,4613.8
10312,S18_2949,Mini Gifts Distributors Ltd.,21/10/2019,Shipped,Medium,37,100.3,3711.1
10322,S18_2949,Online Diecast Creations Co.,4/11/2019,Shipped,Medium,33,106.81,3524.73
10347,S18_2949,"Australian Collectors, Co.",29/11/2019,Shipped,Medium,48,100.3,4814.4
10357,S18_2949,Mini Gifts Distributors Ltd.,10/12/2019,Shipped,Medium,41,87.13,3572.33
10369,S18_2949,Collectables For Less Inc.,20/01/2020,Shipped,Medium,42,109.08,4581.36
10391,S18_2949,"Anna's Decorations, Ltd",9/3/2020,Shipped,Small,32,45.25,1448
10423,S18_2949,Petit Auto,30/05/2020,In Process,Small,10,88.14,881.4
10103,S18_2957,Baane Mini Imports,29/01/2018,Shipped,Small,35,57.46,2011.1
10126,S18_2957,"Corrida Auto Replicas, Ltd",28/05/2018,Shipped,Medium,46,73.7,3390.2
10139,S18_2957,Souveniers And Things Co.,16/07/2018,Shipped,Small,20,71.2,1424
10150,S18_2957,"Dragon Souveniers, Ltd.",19/09/2018,Shipped,Small,30,49.97,1499.1
10163,S18_2957,Classic Legends Inc.,20/10/2018,Shipped,Medium,48,69.96,3358.08
10173,S18_2957,Rovelli Gifts,5/11/2018,Shipped,Small,28,53.72,1504.16
10183,S18_2957,"Classic Gift Ideas, Inc",13/11/2018,Shipped,Small,39,68.08,2655.12
10193,S18_2957,"Australian Collectables, Ltd",21/11/2018,Shipped,Small,24,51.84,1244.16
10206,S18_2957,Canadian Gift Exchange Network,5/12/2018,Shipped,Small,28,67.46,1888.88
10215,S18_2957,West Coast Collectables Co.,29/01/2019,Shipped,Small,31,58.71,1820.01
10228,S18_2957,Cambridge Collectables Co.,10/3/2019,Shipped,Small,45,63.71,2866.95
10244,S18_2957,Euro Shopping Channel,29/04/2019,Shipped,Small,24,58.09,1394.16
10257,S18_2957,The Sharp Gifts Warehouse,14/06/2019,Shipped,Small,49,53.72,2632.28
10269,S18_2957,Salzburg Collectables,16/07/2019,Shipped,Small,32,63.08,2018.56
10280,S18_2957,Amica Models & Co.,17/08/2019,Shipped,Small,43,68.71,2954.53
10291,S18_2957,Scandinavian Gift Ideas,8/9/2019,Shipped,Small,37,50.59,1871.83
10304,S18_2957,Auto Assoc. & Cie.,11/10/2019,Shipped,Small,24,64.96,1559.04
10312,S18_2957,Mini Gifts Distributors Ltd.,21/10/2019,Shipped,Small,35,53.72,1880.2
10322,S18_2957,Online Diecast Creations Co.,4/11/2019,Shipped,Small,41,29.87,1224.67
10332,S18_2957,"AV Stores, Co.",17/11/2019,Shipped,Small,26,114.58,2979.08
10347,S18_2957,"Australian Collectors, Co.",29/11/2019,Shipped,Small,34,64.96,2208.64
10357,S18_2957,Mini Gifts Distributors Ltd.,10/12/2019,Shipped,Medium,49,70.58,3458.42
10369,S18_2957,Collectables For Less Inc.,20/01/2020,Shipped,Small,28,44.21,1237.88
10392,S18_2957,Mini Auto Werke,10/3/2020,Shipped,Small,37,59.96,2218.52
10423,S18_2957,Petit Auto,30/05/2020,In Process,Small,31,53.72,1665.32
10106,S18_3029,Rovelli Gifts,17/02/2018,Shipped,Medium,41,83.44,3421.04
10119,S18_3029,Salzburg Collectables,28/04/2018,Shipped,Small,21,89.46,1878.66
10130,S18_3029,Auto-Moto Classics Inc.,16/06/2018,Shipped,Medium,40,96.34,3853.6
10143,S18_3029,Mini Creations Ltd.,10/8/2018,Shipped,Medium,46,74.84,3442.64
10155,S18_3029,"Toys of Finland, Co.",6/10/2018,Shipped,Medium,44,79.14,3482.16
10167,S18_3029,Scandinavian Gift Ideas,23/10/2018,Cancelled,Medium,46,73.12,3363.52
10178,S18_3029,Alpha Cognac,8/11/2018,Shipped,Medium,41,81.72,3350.52
10186,S18_3029,"Double Decker Gift Stores, Ltd",14/11/2018,Shipped,Small,32,89.46,2862.72
10197,S18_3029,Enaco Distributors,26/11/2018,Shipped,Medium,46,87.74,4036.04
10222,S18_3029,Collectable Mini Designs Co.,19/02/2019,Shipped,Medium,49,94.62,4636.38
10248,S18_3029,Land of Toys Inc.,7/5/2019,Cancelled,Small,21,73.98,1553.58
10262,S18_3029,Euro Shopping Channel,24/06/2019,Cancelled,Small,32,84.3,2697.6
10273,S18_3029,Petit Auto,21/07/2019,Shipped,Medium,34,98.06,3334.04
10283,S18_3029,"Royal Canadian Collectables, Ltd.",20/08/2019,Shipped,Small,21,98.06,2059.26
10296,S18_3029,"Bavarian Collectables Imports, Co.",15/09/2019,Shipped,Small,21,96.34,2023.14
10307,S18_3029,"Classic Gift Ideas, Inc",14/10/2019,Shipped,Small,31,83.44,2586.64
